ORD-20260604-0001,F001,Cơm sườn nướng,35000.0,3,105000.0
ORD-20260604-0002,F006,Trà sữa trân châu,25000.0,2,50000.0
ORD-20260604-0003,F001,Cơm sườn nướng,35000.0,20,700000.0
ORD-20260605-0001,F001,Cơm sườn nướng,35000.0,3,105000.0
ORD-20260605-0002,F006,Trà sữa trân châu,25000.0,2,50000.0
ORD-20260605-0003,F001,Cơm sườn nướng,35000.0,20,700000.0
ORD-20260609-0001,F001,Cơm sườn nướng,35000.0,3,105000.0
ORD-20260609-0002,F006,Trà sữa trân châu,25000.0,2,50000.0
ORD-20260609-0003,F001,Cơm sườn nướng,35000.0,20,700000.0
ORD-20260706-0001,F001,Cơm sườn nướng,35000.0,1,35000.0
ORD-20260706-0002,F001,Cơm sườn nướng,35000.0,1,35000.0
ORD-20260706-0002,F002,Cơm gà xối mỡ,32000.0,1,32000.0
ORD-20260706-0002,F003,Bún bò Huế,30000.0,4,120000.0
